FIPS_Code,Employed_2020,Median_Household_Income_2020,Unemployment_rate_2020,"Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",BIRTHS_2020,DEATHS_2020,DOMESTIC_MIG_2020,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,NATURAL_CHG_2020,NET_MIG_2020,Anxiety_Score_2020,Depression_Score_2020,State_Name,Region
1001,24955,70148,5.3,29.32028356,32.67593887,9.721097947,28.28267962,162,176,100,484,0,-14,100,2.54537222,2.595786405,Alabama,South
1003,92639,71704,6.1,31.391725,27.54203782,8.268600135,32.79763704,560,602,1613,3549,11,-42,1624,2.548291406,2.606122089,Alabama,South
1015,43315,52772,7.7,31.05294619,34.48815292,13.91379552,20.54510537,305,397,-115,5632,0,-92,-115,2.575424673,2.618108304,Alabama,South
1017,14866,45563,7.4,30.58323803,38.45368404,16.3780428,14.58503512,87,167,-51,860,2,-80,-49,2.678848378,2.729827771,Alabama,South
1019,11060,52613,5.1,30.56398786,37.3595356,16.1314374,15.94503914,62,122,59,278,0,-60,59,2.825578143,2.507563884,Alabama,South
1021,18817,61823,5.4,27.70026344,41.23979575,15.81292484,15.24701597,147,143,26,388,1,4,27,2.82001128,2.85346441,Alabama,South
1031,20913,62429,4.8,35.41350531,29.08085844,13.97680468,21.52883156,159,174,91,764,1,-15,92,2.518974599,2.621968026,Alabama,South
1033,22125,54593,7.2,32.72243643,34.55512714,12.45058324,20.27185319,166,176,68,407,2,-10,70,2.582152983,2.604913674,Alabama,South
1039,14483,46958,5.4,32.17430742,36.83056805,13.8176046,17.17751994,88,157,3,778,0,-69,3,2.595205219,2.681044921,Alabama,South
1043,36947,61774,4.7,34.92628205,30.98237179,15.00480769,19.08653846,252,254,290,1262,0,-2,290,2.506608642,2.550847954,Alabama,South
1045,19769,50567,5.3,35.21518089,31.18053913,14.27642469,19.32785528,149,137,-78,757,-1,12,-79,2.630266818,2.901130699,Alabama,South
1047,13076,35258,11.6,31.01109499,39.04026346,12.94154546,17.00709609,101,162,-202,476,1,-61,-201,2.58204517,2.653866557,Alabama,South
1049,29685,50037,4.9,31.41713437,33.64765599,21.05480357,13.88040607,188,222,48,848,4,-34,52,2.566330618,2.572899884,Alabama,South
1051,35614,71463,5.2,30.72711415,34.46766587,10.41087926,24.39434072,213,245,-84,5795,0,-32,-84,2.489558424,2.560519694,Alabama,South
1053,13595,47792,6.7,26.84811169,43.19385074,17.46735166,12.49068591,93,132,-49,2067,0,-39,-49,2.738051659,2.704486581,Alabama,South
1055,37867,55487,8.3,34.33236875,33.96858206,14.22213036,17.47691884,289,362,58,1592,0,-73,58,2.61193406,2.643090671,Alabama,South
1069,44343,56842,5.9,32.54262317,32.08887099,12.60034904,22.7681568,312,316,54,822,0,-4,54,2.53253328,2.594497899,Alabama,South
1071,21700,51965,5.8,28.62496701,37.88070731,17.94404856,15.55027712,127,201,25,603,0,-74,25,2.561757284,2.576837989,Alabama,South
1073,298089,61996,6.7,29.16168969,25.89349154,9.008057757,35.93676101,1919,2031,343,17043,23,-112,366,2.56454508,2.604763537,Alabama,South
1077,39978,59023,6.1,28.61653139,33.60336357,10.69596957,27.08413547,220,305,607,3052,1,-85,608,2.608745854,2.639211652,Alabama,South
1081,72003,59637,5.7,28.29579067,21.79658703,8.574288965,41.33333333,460,324,299,5377,20,136,319,2.540470047,2.591010509,Alabama,South
1083,43673,83159,4.6,30.80403207,26.367172,12.43749504,30.3913009,289,214,575,3116,2,75,577,2.50903317,2.58103393,Alabama,South
1087,7318,36601,10.3,31.74684847,31.72112169,15.79624389,20.73578595,29,77,-17,2069,0,-48,-17,2.703350627,2.691068486,Alabama,South
1089,179653,80426,5.1,27.7264739,19.17419715,7.409038043,45.69029091,1076,844,2269,9764,9,232,2278,2.556972564,2.623264733,Alabama,South
1095,42649,53388,4.6,30.41494477,32.67939717,15.57924815,21.32640991,340,314,27,962,4,26,31,2.543720478,2.638430384,Alabama,South
1097,177944,54315,8.5,30.03839456,33.81968828,10.99169307,25.15022409,1288,1347,-457,7750,11,-59,-446,2.601774204,2.622273233,Alabama,South
1101,98928,56862,8.4,28.38616715,26.18361466,11.15619065,34.27402754,782,713,-652,8397,7,69,-645,2.592113796,2.613929336,Alabama,South
1103,56703,62260,4.9,30.38675332,31.45734667,14.91544545,23.24045456,343,382,-103,2287,1,-39,-102,2.554654635,2.596433351,Alabama,South
1109,14958,45144,5.4,26.30219099,33.9654816,12.41732121,27.3150062,89,100,-86,2143,2,-11,-84,2.568141391,2.592078795,Alabama,South
1113,22420,45074,5.7,37.88450486,31.05274994,14.21074989,16.8519953,184,166,34,530,8,18,42,2.598352783,2.594863398,Alabama,South
1115,39102,70361,5.3,32.97325418,34.66858437,12.41508048,19.94308097,233,265,207,2108,0,-32,207,2.564620698,2.622657889,Alabama,South
1117,112759,98263,4.2,27.35867221,20.45081125,5.991990142,46.19852639,537,444,762,3253,8,93,770,2.526650369,2.58207737,Alabama,South
1121,33565,55186,7.7,31.88067848,35.80681936,15.48865167,16.82385049,219,265,-444,3241,0,-46,-444,2.579410913,2.600613254,Alabama,South
1123,16802,55270,7.5,32.34869106,32.73515475,16.1911483,18.72500588,103,144,6,680,0,-41,6,2.547318606,2.578328623,Alabama,South
1125,96111,60875,7.2,30.64274098,28.85040865,9.129169371,31.377681,611,511,5189,11131,4,100,5193,2.564449046,2.591038862,Alabama,South
1127,23555,51065,6.4,32.55508276,34.32174126,17.12076993,16.00240604,165,309,-73,1081,1,-144,-72,2.624642027,2.637844176,Alabama,South
2020,135425,99162,7.9,31.83926855,24.48998675,5.991843944,37.67890075,966,482,-881,9077,46,484,-835,2.600064189,2.671540184,Alaska,West
2090,41534,84166,6.7,35.61030601,25.56243567,5.118695574,33.70856275,336,114,-519,3987,9,222,-510,2.583437915,2.668891649,Alaska,West
2110,15139,102097,7,32.86749934,21.32500655,5.349812211,40.45768189,70,46,-77,934,2,24,-75,2.55374256,2.692906388,Alaska,West
2122,24064,76254,9.6,34.29049279,30.62753227,5.691133515,29.39084142,149,111,94,1964,1,38,95,2.608490793,2.672864067,Alaska,West
2170,44112,86313,8.8,36.15230954,33.86055166,5.706819177,24.28031961,339,164,244,2350,0,175,244,2.567958565,2.665245364,Alaska,West
4003,46793,55254,6.9,36.39296878,25.16721003,10.78210601,27.65771519,319,361,97,5075,9,-42,106,2.622873402,2.700206988,Arizona,West
4005,65377,64016,9.6,30.93976894,21.41536143,8.025480616,39.61938901,335,289,-13,12049,-4,46,-17,2.616126725,2.676673045,Arizona,West
4007,18884,51928,7.6,39.34659091,31.43939394,10.36682616,18.847189,110,213,206,843,1,-103,207,2.486669887,2.558483227,Arizona,West
4009,14506,63797,6.2,39.33804238,30.30877901,15.76185671,14.5913219,107,76,64,2663,0,31,64,2.701400846,2.750028619,Arizona,West
4013,2100745,83668,7.3,31.67995468,21.95833968,10.50369985,35.8580058,11597,9639,18682,74597,135,1958,18817,2.607169592,2.655375549,Arizona,West
4015,77778,54842,9.9,38.61283888,34.66781545,11.83389002,14.88545564,400,1016,1733,4322,2,-616,1735,2.61455616,2.686322928,Arizona,West
4017,35406,49948,10,38.28350207,30.07840243,14.00660084,17.63149466,318,435,157,2038,0,-117,157,2.636511492,2.65837448,Arizona,West
4019,444682,64007,7.6,32.89714048,21.1780955,10.05413659,35.87062743,2351,2994,2257,27486,66,-643,2323,2.609143808,2.676009107,Arizona,West
4021,174818,76232,7.4,36.63589679,30.33993888,10.87394852,22.15021581,1069,1055,4607,23521,14,14,4621,2.63866499,2.709603674,Arizona,West
4023,16724,53467,11.3,27.26430465,26.37295933,22.29321747,24.06951855,148,94,-19,114,4,54,-15,2.597474054,2.630385316,Arizona,West
4025,96224,64187,7.4,38.11079237,24.78378679,7.503168299,29.60225254,406,871,1670,4062,1,-465,1671,2.59152329,2.687105787,Arizona,West
4027,78941,54209,17.1,33.23556275,26.7299824,23.36246649,16.67198836,646,572,560,8505,24,74,584,2.630594834,2.624921765,Arizona,West
5005,15297,48573,6.1,36.00460242,34.64875455,10.59800355,18.74863949,77,196,198,522,0,-119,198,2.477595173,2.651873282,Arkansas,South
5007,135231,86374,4.5,25.83238661,28.1348474,9.425232996,36.60753299,916,491,1954,3026,34,425,1988,2.572907353,2.623539815,Arkansas,South
5019,8550,50519,6.1,31.76860305,32.70582532,10.03474186,25.49082976,60,68,-50,2857,0,-8,-50,2.577496918,2.576909481,Arkansas,South
5027,8282,47278,7,27.48828624,40.59349709,11.53627715,20.38193951,57,79,-36,2012,0,-22,-36,2.671190018,2.667190185,Arkansas,South
5031,52654,60580,5.4,30.12605979,32.36139,9.745928157,27.76662204,356,264,272,3951,4,92,276,2.55250155,2.585328685,Arkansas,South
5033,24751,54741,5.5,31.02964986,36.29992992,13.36780804,19.30261218,172,168,2,673,2,4,4,2.584101957,2.621160483,Arkansas,South
5035,18983,49644,8.5,30.32891927,37.76492623,14.7110045,17.19515,156,156,-85,495,0,0,-85,2.665468085,2.681246007,Arkansas,South
5045,57714,63429,5.6,30.08667941,30.40025494,6.31612492,33.19694073,379,250,153,4738,3,129,156,2.580683866,2.61977528,Arkansas,South
5051,37708,53239,8.1,33.7488344,30.89929241,9.105369974,26.24650321,230,353,204,1650,2,-123,206,2.591511957,2.65430684,Arkansas,South
5055,18110,54475,6.1,28.31620401,42.59277047,12.60205552,16.48897,151,115,82,849,0,36,82,2.586528906,2.529539707,Arkansas,South
5063,15479,57611,5.9,31.21476166,39.40779876,12.50640697,16.87103261,109,103,-9,850,0,6,-9,2.563488516,2.613399532,Arkansas,South
5069,24662,45894,8.2,26.82818305,41.09768849,11.43295735,20.64117111,198,257,-339,5589,2,-59,-337,2.632498977,2.609577302,Arkansas,South
5071,9323,46660,6.4,24.63625866,41.18937644,16.09699769,18.07736721,76,71,-33,454,0,5,-33,2.677065618,2.767470059,Arkansas,South
5085,31393,66160,5.6,32.19748961,37.0193551,9.788943924,20.99421137,175,194,34,720,0,-19,34,2.604677293,2.651627985,Arkansas,South
5091,17671,48652,7,30.44231235,40.42811125,13.08233175,16.04724464,132,139,-16,1375,0,-7,-16,2.549889418,2.611387409,Arkansas,South
5093,15414,45168,9.2,28.96594284,42.46538358,14.39040383,14.17826976,139,135,-141,778,0,4,-141,2.593554557,2.580373471,Arkansas,South
5105,3839,56640,5.7,30.35368886,44.21110804,8.303398729,17.13180437,23,37,-9,90,0,-14,-9,2.863303554,2.414702262,Arkansas,South
5113,7330,45289,6.8,34.35215947,35.82871908,12.61720192,17.20191953,52,65,-25,96,0,-13,-25,2.596763201,2.527973794,Arkansas,South
5115,25735,57881,6,26.33975904,35.00240964,14.02168675,24.63614458,175,182,10,2770,0,-7,10,2.597111024,2.625887797,Arkansas,South
5119,172305,57057,7.6,29.47393325,25.12670183,8.038311825,37.36105309,1188,1085,-116,8904,17,103,-99,2.577895815,2.607439831,Arkansas,South
5125,54956,70330,5.1,31.40489227,32.74561796,7.349885786,28.49960398,332,295,352,1289,1,37,353,2.521373382,2.578711793,Arkansas,South
